Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  02:53:00,21.9,27.149058135514117 
 05/15  02:54:00,21.9,27.129290309273888 
 05/15  02:55:00,21.9,27.10953621318304 
 05/15  02:56:00,21.8,27.089795527507242 
 05/15  02:57:00,21.8,27.07005745410456 
 05/15  02:58:00,21.8,27.050327600382065 
 05/15  02:59:00,21.8,27.030610686992212 
 05/15  03:00:00,21.8,27.01090817520667 
 05/15  03:01:00,21.8,26.99121977341701 
 05/15  03:02:00,21.8,26.971544744129783 
 05/15  03:03:00,21.7,26.951882454544588 
 05/15  03:04:00,21.7,26.9322224488955 
 05/15  03:05:00,21.7,26.91257077720731 
 05/15  03:06:00,21.7,26.892932564213673 
 05/15  03:07:00,21.7,26.87330963798913 
 05/15  03:08:00,21.7,26.853702047588552 
 05/15  03:09:00,21.6,26.834109366240902 
 05/15  03:10:00,21.6,26.814531230583174 
 05/15  03:11:00,21.6,26.79496746555879 
 05/15  03:12:00,21.6,26.77541804824912 
 05/15  03:13:00,21.6,26.755883005375942 
 05/15  03:14:00,21.6,26.736362314752505 
 05/15  03:15:00,21.6,26.716855869996444 
 05/15  03:16:00,21.5,26.697363523248796 
 05/15  03:17:00,21.5,26.677885177816204 
 05/15  03:18:00,21.5,26.658420875737928 
 05/15  03:19:00,21.5,26.63897081073851 
 05/15  03:20:00,21.5,26.61953524861692 
 05/15  03:21:00,21.5,26.600114420568115 
 05/15  03:22:00,21.5,26.58070846852294 
 05/15  03:23:00,21.4,26.561317470715515 
 05/15  03:24:00,21.4,26.541941523697442 
 05/15  03:25:00,21.4,26.52258082531259 
 05/15  03:26:00,21.4,26.503235687297263 
 05/15  03:27:00,21.4,26.483906457902673 
 05/15  03:28:00,21.4,26.464593418832145 
 05/15  03:29:00,21.4,26.445296734781667 
 05/15  03:30:00,21.4,26.42601648330355 
 05/15  03:31:00,21.3,26.40675274190727 
 05/15  03:32:00,21.3,26.387505690286506 
 05/15  03:33:00,21.3,26.368275680548493 
 05/15  03:34:00,21.3,26.349063221258195 
 05/15  03:35:00,21.3,26.329868869734174 
 05/15  03:36:00,21.3,26.310693104407044 
 05/15  03:37:00,21.3,26.29153625780824 
 05/15  03:38:00,21.3,26.272398537314007 
 05/15  03:39:00,21.2,26.253280108886912 
 05/15  03:40:00,21.2,26.234181199922872 
 05/15  03:41:00,21.2,26.215102172585077 
 05/15  03:42:00,21.2,26.19604351232356 
 05/15  03:43:00,21.2,26.177005725226177 
 05/15  03:44:00,21.2,26.15798921546097 
 05/15  03:45:00,21.2,26.13900432810508 
 05/15  03:46:00,21.2,26.120044937889798 
 05/15  03:47:00,21.1,26.10110611180787 
 05/15  03:48:00,21.1,26.082186390282512 
 05/15  03:49:00,21.1,26.06328620860161 
 05/15  03:50:00,21.1,26.04440652751917 
 05/15  03:51:00,21.1,26.025558320186704 
 05/15  03:52:00,21.1,26.00673596275767 
 05/15  03:53:00,21.1,25.987934802103542 
 05/15  03:54:00,21.1,25.969153410260382 
 05/15  03:55:00,21.0,25.950392043965802 
 05/15  03:56:00,21.0,25.93166148140157 
 05/15  03:57:00,21.0,25.912956216278392 
 05/15  03:58:00,21.0,25.894271920184064 
 05/15  03:59:00,21.0,25.875607577541565 
 05/15  04:00:00,21.0,25.856973840843132 
 05/15  04:01:00,21.0,25.838365294862687 
 05/15  04:02:00,21.0,25.81977749081444 
 05/15  04:03:00,21.0,25.80121923446431 
 05/15  04:04:00,20.9,25.782684728053972 
 05/15  04:05:00,20.9,25.764169896583773 
 05/15  04:06:00,20.9,25.745684199581547 
 05/15  04:07:00,20.9,25.727222530136665 
 05/15  04:08:00,20.9,25.708781314255933 
 05/15  04:09:00,20.9,25.69037014223699 
 05/15  04:10:00,20.9,25.671983713193214 
 05/15  04:11:00,20.9,25.653628142688017 
 05/15  04:12:00,20.9,25.63529637037491 
 05/15  04:13:00,20.9,25.616984132765772 
 05/15  04:14:00,20.8,25.598700990989673 
 05/15  04:15:00,20.8,25.580442046656625 
 05/15  04:16:00,20.8,25.562214065281825 
 05/15  04:17:00,20.8,25.544010838263745 
 05/15  04:18:00,20.8,25.525838932541188 
 05/15  04:19:00,20.8,25.50769214205474 
 05/15  04:20:00,20.8,25.489576861937216 
 05/15  04:21:00,20.8,25.471486603943816 
 05/15  04:22:00,20.8,25.453427519889193 
 05/15  04:23:00,20.8,25.435393070219178 
 05/15  04:24:00,20.8,25.417389534047366 
 05/15  04:25:00,20.7,25.399410688016268 
 05/15  04:26:00,20.7,25.381463201024854 
 05/15  04:27:00,20.7,25.363551370684203 
 05/15  04:28:00,20.7,25.345666006753767 
 05/15  04:29:00,20.7,25.32781263510961 
 05/15  04:30:00,20.7,25.309985256253025 
 05/15  04:31:00,20.7,25.292190681829837 
 05/15  04:32:00,20.7,25.274432906317124 
 05/15  04:33:00,20.7,25.256702124181654 
 05/15  04:34:00,20.7,25.23900311800257 
 05/15  04:35:00,20.7,25.221339470304112 
 05/15  04:36:00,20.7,25.203701769381844 
 05/15  04:37:00,20.6,25.186095437888223 
 05/15  04:38:00,20.6,25.168524761393552 
 05/15  04:39:00,20.6,25.150991088623503 
 05/15  04:40:00,20.6,25.133484265584894 
 05/15  04:41:00,20.6,25.11600993897471 
 05/15  04:42:00,20.6,25.0985726305426 
 05/15  04:43:00,20.6,25.08117347710224 
 05/15  04:44:00,20.6,25.06381176490453 
 05/15  04:45:00,20.6,25.04648629468687 
 05/15  04:46:00,20.6,25.029185902856522 
 05/15  04:47:00,20.6,25.01191581540625 
 05/15  04:48:00,20.6,24.994680449590824 
 05/15  04:49:00,20.6,24.97748117983852 
 05/15  04:50:00,20.6,24.960317900278508 
 05/15  04:51:00,20.5,24.943190330550873 
 05/15  04:52:00,20.5,24.926098497691072 
 05/15  04:53:00,20.5,24.90904275324806 
 05/15  04:54:00,20.5,24.892023612530334 
 05/15  04:55:00,20.5,24.875041542584796 
 05/15  04:56:00,20.5,24.858096786011867 
 05/15  04:57:00,20.5,24.841189282589475 
 05/15  04:58:00,20.5,24.82431869810494 
 05/15  04:59:00,20.5,24.807484525299444 
 05/15  05:00:00,20.5,24.790686208785182 
 05/15  05:01:00,20.5,24.773923257034173 
 05/15  05:02:00,20.5,24.757195323211306 
 05/15  05:03:00,20.5,24.74050225164631 
 05/15  05:04:00,20.6,24.723844095012026 
 05/15  05:05:00,20.6,24.707221111084333 
 05/15  05:06:00,20.6,24.690643994053247 
 05/15  05:07:00,20.6,24.6741071760762 
 05/15  05:08:00,20.6,24.657606794237086 
 05/15  05:09:00,20.6,24.64114278472529 
 05/15  05:10:00,20.7,24.624717261167657 
 05/15  05:11:00,20.7,24.60834332808108 
 05/15  05:12:00,20.7,24.592017763732848 
 05/15  05:13:00,20.7,24.57573869656385 
 05/15  05:14:00,20.7,24.559517882534116 
 05/15  05:15:00,20.8,24.543352409512575 
